2024.12.27 	53,700 	»ó½Â 100 	53,500 	54,100 	53,200 	10,674,616
2024.12.26 	53,600 	ÇÏ¶ô 800 	54,500 	54,600 	53,500 	10,517,075
2024.12.24 	54,400 	»ó½Â 900 	53,700 	54,500 	53,600 	11,634,677
2024.12.23 	53,500 	»ó½Â 500 	53,400 	54,000 	53,300 	13,672,650
2024.12.20 	53,000 	ÇÏ¶ô 100 	52,700 	53,100 	51,900 	24,674,774
2024.12.19 	53,100 	ÇÏ¶ô 1,800 	53,500 	53,800 	53,100 	22,481,925
2024.12.18 	54,900 	»ó½Â 700 	54,100 	55,400 	54,000 	13,698,937
2024.12.17 	54,200 	ÇÏ¶ô 1,400 	54,700 	55,200 	54,000 	20,215,230
2024.12.16 	55,600 	ÇÏ¶ô 500 	56,300 	56,600 	55,200 	15,277,277
2024.12.13 	56,100 	»ó½Â 200 	55,800 	56,300 	55,500 	15,908,823
2024.12.12 	55,900 	»ó½Â 1,900 	54,000 	56,500 	53,900 	33,476,698
2024.12.11 	54,000 	º¸ÇÕ0 	53,600 	54,200 	53,400 	14,565,947
2024.12.10 	54,000 	»ó½Â 600 	54,500 	54,500 	53,700 	20,783,970
2024.12.09 	53,400 	ÇÏ¶ô 700 	53,500 	54,600 	53,200 	26,227,680
2024.12.06 	54,100 	»ó½Â 400 	53,900 	54,400 	52,700 	22,861,874
2024.12.05 	53,700 	»ó½Â 600 	53,200 	54,400 	53,200 	23,588,277
2024.12.04 	53,100 	ÇÏ¶ô 500 	52,000 	53,400 	52,000 	29,004,766
2024.12.03 	53,600 	º¸ÇÕ0 	53,100 	54,400 	53,100 	23,374,603
2024.12.02 	53,600 	ÇÏ¶ô 600 	54,300 	54,400 	53,100 	22,044,867
2024.11.29 	54,200 	ÇÏ¶ô 1,300 	55,100 	55,300 	53,800 	24,513,531
2024.11.28 	55,500 	ÇÏ¶ô 800 	56,000 	56,400 	55,200 	20,001,134
2024.11.27 	56,300 	ÇÏ¶ô 2,000 	57,700 	57,800 	56,000 	21,808,387
2024.11.26 	58,300 	»ó½Â 400 	57,900 	58,900 	57,500 	23,209,405
2024.11.25 	57,900 	»ó½Â 1,900 	57,400 	57,900 	56,700 	36,237,325
2024.11.22 	56,000 	ÇÏ¶ô 400 	56,000 	56,700 	55,900 	15,281,543
2024.11.21 	56,400 	»ó½Â 1,100 	54,900 	56,900 	54,700 	19,096,850
2024.11.20 	55,300 	ÇÏ¶ô 1,000 	56,100 	56,500 	54,800 	20,864,667
2024.11.19 	56,300 	ÇÏ¶ô 400 	56,500 	57,500 	55,900 	31,539,632
2024.11.18 	56,700 	»ó½Â 3,200 	57,000 	57,500 	55,900 	48,095,234
2024.11.15 	53,500 	»ó½Â 3,600 	50,300 	54,200 	50,300 	46,774,485
2024.11.14 	49,900 	ÇÏ¶ô 700 	50,200 	51,800 	49,900 	48,510,715
2024.11.13 	50,600 	ÇÏ¶ô 2,400 	52,000 	53,000 	50,500 	52,527,995
2024.11.12 	53,000 	ÇÏ¶ô 2,000 	54,600 	54,600 	53,000 	37,962,881
2024.11.11 	55,000 	ÇÏ¶ô 2,000 	56,700 	56,800 	55,000 	29,811,326
2024.11.08 	57,000 	ÇÏ¶ô 500 	58,000 	58,300 	57,000 	13,877,396
2024.11.07 	57,500 	»ó½Â 200 	56,900 	58,100 	56,800 	17,043,102
2024.11.06 	57,300 	ÇÏ¶ô 300 	57,600 	58,000 	56,300 	22,092,218
2024.11.05 	57,600 	ÇÏ¶ô 1,100 	57,800 	58,100 	57,200 	17,484,474
2024.11.04 	58,700 	»ó½Â 400 	58,600 	59,400 	58,400 	15,586,947
2024.11.01 	58,300 	ÇÏ¶ô 900 	59,000 	59,600 	58,100 	19,083,180
